id  minut  cal
1   0.45  0.34170
2   0.45 -0.00438
3   0.45  0.82531
4   1.30  1.77967
5   1.30  0.95384
6   1.30  0.64080
7   2.40  1.75136
8   2.40  1.27497
9   2.40  1.17332
10  4.00  3.12273
11  4.00  2.60958
12  4.00  2.57429
13  6.10  3.17881
14  6.10  3.00782
15  6.10  2.67061
16  8.05  3.05959
17  8.05  3.94321
18  8.05  3.43726
19 11.15  4.80735
20 11.15  3.35583
21 11.15  2.78309
22 13.15  5.13825
23 13.15  4.70274
24 13.15  4.25702
25 15.00  3.60407
26 15.00  4.15029
27 15.00  3.42484
