   pnb   telefonos   idh   arm   antic   mort   nat   fec
Albania   820.00   11.5   0.656   6.7   NA   6   22   2.7
Alemania   28870.00   493.5   0.925   1.7   75   11   9   1.3
Angola   270.00   5.6   0.344   6.4   1   19   49   6.8
"Aotearoa / Nueva Zelandia"   15720.00   478.5   0.939   1.3   70   8   16   2.1
"Arabia Saudita"   NA   96.2   0.778   12.8   NA   4   35   6
Argelia   1520.00   42.1   0.746   4   57   6   30   4
Argentina   8380.00   159.9   0.888   1.5   74   8   20   2.7
Armenia   630.00   154.5   0.674   6.2   NA   7   15   1.8
Australia   20090.00   509.7   0.932   2.2   76   7   14   1.9
Austria   28110.00   465.5   0.933   0.9   71   10   11   1.4
Azerbaijan   480.00   84.8   0.623   5.8   NA   7   20   2.4
Bahrain   NA   242.3   0.872   5.5   54   4   22   3.1
Bangladesh   260.00   2.4   0.371   1.7   49   10   27   3.2
Barbados   NA   345.3   0.909   0.7   55   9   15   1.7
Belarus   2070.00   190.4   0.783   4.2   50   12   11   1.5
Belgica   26440.00   457.5   0.933   1.6   79   11   11   1.6
Belice   NA   134.0   0.807   2.5   47   4   32   3.8
Benin   350.00   5.2   0.378   1.4   9   13   43   6
Bhutan   NA   9.0   0.347   NA   19   14   41   5.9
Bolivia   830.00   46.8   0.593   2.1   45   9   34   4.5
Botswana   NA   40.8   0.678   6.7   33   12   36   4.6
Brasil   4400.00   74.8   0.809   2.1   77   7   20   2.3
Brunei   NA   239.9   0.889   6.5   NA   3   23   2.8
Bulgaria   1190.00   305.7   0.789   3.3   76   13   10   1.5
"Burkina Faso"   230.00   2.9   0.219   2.4   8   18   46   6.7
Burundi   170.00   2.7   0.241   4.1   9   18   44   6.4
"Cabo Verde"   NA   54.9   0.591   1.7   15   8   32   3.7
Camboya   300.00   0.5   0.422   5.7   NA   13   35   4.6
Camerun   610.00   4.5   0.481   2.4   16   12   40   5.4
Canada   19020.00   589.7   0.960   1.5   73   7   13   1.6
Chad   160.00   0.8   0.318   2.7   1   18   42   5.6
Chile   4860.00   132.0   0.893   3.5   43   6   20   2.5
China   750.00   33.5   0.650   5.7   83   7   17   1.8
Chipre   NA   473.9   0.913   5.2   NA   8   17   2.3
Colombia   2140.00   99.8   0.850   2.6   72   6   24   2.8
"Congo R."   670.00   8.1   0.519   1.9   NA   15   43   6
"Congo R.D."   130.00   0.8   0.383   2.8   8   14   46   6.4
"Corea del Norte"   NA   46.1   0.766   27.2   NA   6   21   2.1
"Corea del Sur"   10610.00   414.7   0.894   3.3   79   6   15   1.7
"Costa Rica"   2640.00   163.6   0.889   0.6   75   4   25   3
"Cote d'Ivoire"   660.00   8.1   0.368   0.9   11   14   38   5.3
Croacia   3800.00   269.4   0.759   6.8   NA   12   11   1.6
Cuba   NA   32.1   0.729   5.4   70   7   14   1.6
Dinamarca   32100.00   612.6   0.928   1.7   78   12   13   1.8
Djibouti   NA   13.1   0.324   5.2   NA   15   39   5.5
Ecuador   1500.00   65.2   0.767   3.4   57   6   26   3.2
Egipto   1080.00   46.3   0.612   4.5   48   7   27   3.5
"El Salvador"   1700.00   52.8   0.604   1.5   53   6   29   3.2
"Emiratos Arabes Unidos"   NA   282.8   0.855   5.2   NA   3   19   3.6
Eritrea   NA   4.8   0.275   7.5   8   15   41   5.5
Eslovaquia   3410.00   208.4   0.875   2.6   74   11   12   1.6
Eslovenia   9240.00   308.8   0.887   1.8   NA   11   10   1.3
Espanya   14350.00   385.0   0.935   1.5   59   9   10   1.2
"Estados Unidos"   28020.00   625.7   0.943   3.6   74   9   14   2
Estonia   3080.00   277.4   0.758   2.4   70   13   10   1.4
Etiopia   100.00   2.5   0.252   2   4   17   48   7
Fiji   NA   82.6   0.869   2.6   32   5   23   2.8
Filipinas   1160.00   20.9   0.677   2   40   6   29   3.7
Finlandia   23240.00   550.1   0.942   2   80   10   12   1.8
Francia   26270.00   558.0   0.946   3.1   75   9   12   1.7
Gabon   3950.00   24.2   0.568   2   NA   15   37   5.3
Gambia   NA   17.3   0.291   3.9   12   18   41   5.3
Georgia   850.00   103.0   0.633   3.4   NA   9   14   2
Ghana   360.00   3.5   0.473   1.4   20   11   39   5.4
Grecia   11460.00   493.2   0.924   4.8   NA   10   10   1.4
Guatemala   1470.00   27.2   0.615   1.4   31   7   37   5
Guinea   560.00   1.6   0.277   1.9   2   19   49   6.7
"Guinea Bissau"   250.00   8.8   0.295   2.9   1   21   41   5.5
"Guinea Ecuatorial"   NA   6.3   0.465   1   NA   17   42   5.6
Guyana   NA   53.0   0.670   1   NA   8   23   2.4
Haiti   310.00   8.4   0.340   3.5   18   13   34   4.7
Holanda   25940.00   525.2   0.941   2.1   80   9   12   1.6
Honduras   660.00   28.7   0.573   1.3   47   6   35   4.5
Hungria   4340.00   185.3   0.857   1.7   73   15   11   1.5
India   380.00   12.9   0.451   2.8   41   9   26   3.2
Indonesia   1080.00   16.9   0.679   2.1   55   8   24   2.7
Irak   NA   33.0   0.538   8.3   18   9   37   5.4
Iran   NA   75.7   0.758   5   73   6   35   4.9
Irlanda   17110.00   365.3   0.930   1.1   NA   9   13   1.9
Islandia   NA   554.8   0.942   NA   NA   7   17   2.2
Israel   15870.00   417.7   0.913   12.1   NA   6   21   2.8
Italia   19880.00   433.5   0.922   2.2   78   10   9   1.2
Jamaica   1600.00   115.6   0.735   0.6   62   6   22   2.5
Japon   40940.00   488.0   0.940   1   59   8   10   1.5
Jordania   1650.00   72.9   0.729   5.6   35   5   38   5.3
Kazajstan   1350.00   118.0   0.695   2.6   59   8   19   2.4
Kenia   320.00   9.0   0.463   2.2   33   11   37   5
Kirguizstan   550.00   76.5   0.633   2.6   NA   7   26   3.3
Kuwait   NA   226.1   0.848   12.9   35   2   22   2.9
Laos   400.00   4.4   0.465   4.1   19   14   45   6.7
Lesotho   660.00   9.0   0.469   5   23   11   36   5
Letonia   2300.00   280.0   0.704   3.5   NA   14   10   1.5
Libano   2970.00   82.4   0.796   4.4   55   7   25   2.9
Libia   NA   58.8   0.806   5.1   NA   7   41   6.1
Lituania   2280.00   253.5   0.750   4.3   NA   12   11   1.6
Luxembrgo   NA   565.0   0.900   0.7   NA   10   13   1.7
Macedonia   990.00   164.6   0.749   NA   NA   7   15   2
Madagascar   250.00   2.4   0.348   0.8   17   10   42   5.8
Malasia   4370.00   165.6   0.834   4.2   48   5   26   3.4
Malawi   180.00   3.5   0.334   1.2   22   22   49   6.8
Mali   240.00   1.7   0.236   1.8   7   18   48   6.8
Malta   NA   458.9   0.899   1.1   NA   NA   NA   NA
Marruecos   1290.00   43.3   0.557   4.3   50   7   26   3.3
Mauricio   3710.00   131.1   0.833   2.3   75   7   20   2.3
Mauritania   470.00   4.1   0.361   2.9   4   13   39   5.1
Mexico   3670.00   95.8   0.855   0.8   53   5   25   2.9
Moldova   590.00   130.7   0.610   4.2   NA   11   14   1.9
