"A.U.D.I." "ACURA" "ALFA ROMEO" "ASTON MARTIN" "AUSTIN" "B.M.W." "BENTLEY" "BUICK" "CADILLAC" "CITROEN" "CHEVROLET" "CHRYSLER" "DAEWOO" "DAIHATSU" "DAIMLER" "DAIMLERCHRYSLER" "DIAMOND" "DODGE" "FERRARI" "FIAT" "FORD" "G.M.C." "HISPANO SUIZA" "HONDA" "HUMMER" "HYUNDAI" "ISUZU" "IVECO" "JAGUAR" "JEEP" "KIA" "LADA" "LADA-VAZ" "LAMBORGHINI" "LANCIA" "LAND ROVER" "LEXUS" "LINCOLN" "LONDON TAXIS INTERNAT." "LOTUS" "M.G." "MASERATI" "MATRA" "MAZDA" "MERCEDES-BENZ" "MERCURY" "MICRO COMPACT CAR" "MINI" "MITSUBISHI" "MORGAN" "NISSAN" "OLDSMOBILE" "OPEL" "PACKARD" "PEUGEOT" "PLYMOUTH" "PONTIAC" "PORSCHE" "QUATTRO" "RENAULT" "ROLLS-ROYCE" "ROVER" "SAAB" "SANTANA" "SATURN" "SEAT" "SIMCA" "SKODA" "SSANGYONG" "SUBARU" "SUZUKI" "TATA" "TOYOTA" "TRIUMPH" "VAUXHALL" "VOLKSWAGEN" "VOLVO" "SIN MARCA" "OTRAS MARCAS"
"Alava" 382 0 126 0 0 309 1 0 0 924 0 9 99 0 0 0 0 0 0 220 788 0 0 264 0 255 0 0 34 2 101 0 1 0 30 29 18 0 0 0 18 0 0 175 313 0 29 11 44 0 224 0 817 0 1315 0 0 1 0 1730 0 55 77 0 0 1057 0 66 0 28 14 0 322 0 0 765 129 0 0
"Albacete" 468 0 79 0 0 387 0 0 0 954 1 20 215 0 0 1 0 0 0 233 690 0 0 89 0 229 0 0 71 5 96 0 0 0 5 22 1 0 0 0 8 0 0 114 549 0 3 3 41 0 263 0 621 0 904 0 0 3 0 1017 0 53 17 0 0 933 0 111 0 1 107 1 330 0 0 781 115 0 0
"Alicante" 2306 0 945 4 3 2832 5 1 4 8115 17 164 2218 25 1 7 0 5 8 1920 23593 1 0 742 0 2235 2 0 210 24 1905 0 0 0 126 145 92 0 2 3 121 4 0 661 3857 0 631 49 318 6 4616 1 5302 0 8554 3 12 72 0 7328 2 569 137 0 0 6267 0 361 4 26 275 13 2974 0 7 6626 368 9 4
"Almeria" 795 0 129 0 1 839 1 0 1 2148 2 32 549 3 2 3 0 1 2 493 1750 0 0 136 0 458 0 0 74 5 296 0 0 1 26 78 7 0 0 0 51 2 0 127 1017 0 27 21 77 0 559 0 1633 1 2423 0 0 9 0 2545 0 127 60 0 0 2156 0 177 0 1 36 10 447 0 5 1606 196 0 2
"Avila" 190 0 50 0 0 144 0 0 0 412 0 10 39 0 0 0 0 0 0 90 354 1 0 51 0 84 1 0 15 1 47 0 0 0 16 17 0 1 0 0 1 0 0 12 128 0 2 2 25 0 115 0 259 0 361 0 0 0 0 489 0 21 3 0 0 352 0 16 0 0 10 0 130 0 1 298 49 0 0
"Badajoz" 529 0 92 0 0 535 1 0 0 1346 0 24 489 2 1 0 0 0 2 219 1230 0 0 80 0 469 1 0 24 28 329 0 0 0 29 35 2 0 0 0 38 1 0 135 504 0 9 19 196 0 563 0 976 0 1480 0 1 5 1 1650 0 149 2 0 0 1513 0 508 6 2 412 35 583 0 0 961 85 0 1
"Illes Balears" 1478 0 509 1 1 1103 2 1 0 4977 10 119 1380 4 141 24 1 2 4 4930 5000 3 0 544 2 2158 7 0 112 112 170 1 0 0 709 132 35 1 0 1 84 1 1 304 1136 0 566 69 394 0 1700 0 5831 1 4621 1 4 80 2 6101 1 175 36 1 0 4546 0 833 27 27 406 17 1878 2 2 8386 216 4 8
"Barcelona" 9382 1 1585 5 9 7998 14 1 37 17526 36 286 2689 4 55 128 3 2 20 4376 13440 2 5 2959 5 4322 1 4 647 120 2137 1 1 3 389 573 322 3 1 1 471 22 2 2843 7019 0 1228 376 833 5 6519 0 13757 1 17404 2 6 501 22 21929 4 714 740 2 0 29403 3 1353 55 637 901 14 5965 3 1 17009 2763 2 20
"Burgos" 410 0 161 0 0 365 0 1 3 1008 0 22 104 0 0 0 0 0 0 235 985 0 0 117 0 228 0 0 14 15 212 1 0 0 9 49 16 1 0 0 26 0 0 165 360 0 3 4 123 0 285 0 946 0 1464 0 1 6 0 1457 1 154 94 0 0 911 0 94 2 24 133 4 456 0 0 580 155 0 2
"Caceres" 366 0 25 0 0 387 0 0 0 1070 0 17 229 3 0 0 0 0 0 85 735 0 0 26 0 299 0 0 15 7 197 0 0 0 2 7 0 0 0 0 25 0 0 19 330 0 4 3 39 0 311 1 679 0 977 0 0 5 0 1104 0 93 12 0 0 658 0 48 0 4 64 0 81 0 0 832 80 2 1
