"temp" "viento" "ozono"
19 7.4 41
22 8 36
23 12.6 12
17 11.5 18
18 8.6 23
15 13.8 19
16 20.1 8
21 9.7 16
19 9.2 11
20 10.9 14
14 13.2 18
18 11.5 14
19 12 34
14 18.4 6
20 11.5 30
17 9.7 11
15 9.7 1
23 16.6 11
16 9.7 4
16 12 32
19 12 23
27 14.9 45
26 5.7 115
24 7.4 37
28 9.7 29
32 13.8 71
31 11.5 39
28 8 23
25 14.9 21
22 20.7 37
18 9.2 20
23 11.5 12
24 10.3 13
29 4 135
29 9.2 49
27 9.2 32
28 4.6 64
28 10.9 40
31 5.1 77
33 6.3 97
33 5.7 97
32 7.4 85
23 14.3 10
27 14.9 27
27 14.3 7
27 6.9 48
28 10.3 35
29 6.3 61
31 5.1 79
29 11.5 63
23 6.9 16
30 8.6 80
29 8 108
28 8.6 20
30 12 52
31 7.4 82
30 7.4 50
28 7.4 64
27 9.2 59
27 6.9 39
27 13.8 9
28 7.4 16
32 4 122
32 10.3 89
32 8 110
30 11.5 44
28 11.5 28
27 9.7 65
25 10.3 22
26 6.3 59
24 7.4 23
26 10.9 31
26 10.3 44
25 15.5 21
22 14.3 9
26 9.7 45
27 3.4 168
30 8 73
36 9.7 76
34 2.3 118
36 6.3 84
34 6.3 85
33 6.9 96
33 5.1 78
34 2.8 73
34 4.6 91
31 7.4 47
29 15.5 32
27 10.9 20
26 10.3 23
24 10.9 21
23 9.7 24
27 14.9 44
24 15.5 21
25 6.3 28
22 10.9 9
22 11.5 13
26 6.9 46
19 13.8 18
24 10.3 13
20 10.3 24
28 8 16
18 12.6 13
22 9.2 23
27 10.3 36
21 10.3 7
17 16.6 14
21 6.9 30
24 14.3 14
24 8 18
20 11.5 20
